Bee #,Nonadecane,Hexadecanolide,Octadecanal,Heneicosane,Octadecadienoic Acid,Octadecanolide,Octadecenolide,Eicosanal,Tricosene,Tricosane,Unknown RI2360,Eicosanolide,Eicosenolide,Pentacosene,Pentacosane,Unknown RI2496,11/13-methylpentacosane?,Docosene,Unknown RI2568,Hexacosene,Unknown RI2620,Docosenolide,Docosanolide,Heptacosadiene,Unknown RI2687,Heptacosene,Heptacosane,Unknown RI2739,Octacosane,Tetracosanolide,Tetracosenolide,Nonacosene,3-Methyl-3-Butenyl Docosanoate,Nonacosane,Hexacosenolide,Hexacosanolide,Triacontane,3-Methyl-3-Butenyl Tetracosanoate,Tritriacontane,Pentatriacontene,Heptatriacontadiene,Heptatriacontene,Unknown RI2155,11-Methyltricosane,Alkane_total,Alkene_total,Methylalkane_total,Lactone_total
818,0.002,0.033,0.001,0.053,0,2.761,0.294,0.001,0.022,2.743,0.023,1.632,0.877,0.014,1.758,0.092,0.018,0.019,0.042,0.003,0.052,0.488,1.258,0.004,0.04,0.04,1.284,0,0.029,0.121,0.122,0.008,0.015,0.043,0.001,0.003,0.001,0.011,0.002,0.052,0.112,0.039,0,0.008,5.913,0.312,0.025,7.59
822,0.004,0.095,0.003,0.086,0.001,2.226,0.143,0.002,0.128,4.111,0.025,2.662,1.107,0.432,3.515,0.198,0.058,0.013,0.003,0.013,0.034,0.637,2.311,0.111,0.111,0.562,1.396,0.016,0.083,0.368,0.168,0.086,0.08,0.067,0.004,0.018,0.004,0.02,0.006,0.007,0.015,0.002,0.002,0.023,9.27,1.368,0.08,9.739
823,0.001,0.033,0.001,0.083,0,2.423,0.225,0.001,0.176,4.711,0.025,2.73,1.214,0.64,3.704,0.239,0.048,0.046,0.001,0.014,0.03,0.715,2.243,0.224,0.121,1.018,2.071,0.019,0.08,0.373,0.201,0.14,0.12,0.084,0.006,0.009,0.002,0.027,0.003,0.019,0.055,0.008,0.001,0.019,10.74,2.339,0.068,10.174
824,0.004,0.035,0.002,0.083,0.001,4.615,0.836,0.003,0.091,4.114,0.025,3.079,2.387,0.56,3.315,0.501,0.034,0.094,0.002,0.027,0.029,1.289,2.373,0.524,0.128,0.976,1.356,0.025,0.075,0.349,0.344,0.156,0.078,0.045,0.009,0.007,0.003,0.017,0.003,0.006,0.034,0.001,0.002,0.018,8.998,2.468,0.053,15.324
825,0.001,0.036,0,0.075,0,4.27,0.447,0.002,0.056,5.062,0.027,3.787,2.62,0.304,3.973,0.297,0.078,0.068,0.002,0.029,0.035,1.772,3.662,0.463,0.111,0.623,2.487,0.037,0.23,1.081,0.605,0.118,0.134,0.086,0.017,0.016,0.004,0.054,0.004,0.002,0.024,0.001,0,0.03,11.921,1.688,0.109,18.313
826,0.002,2.87,0.004,0.142,0.003,0.152,0.774,0.002,1.666,5.961,0.096,0.121,0,4.616,2.719,0.165,0.055,0.047,0.002,0.209,0.028,0.011,0.161,0.008,0.093,5.234,2.517,0.046,0.029,0.003,0.039,1.101,0.083,0.361,0.003,0.005,0.006,0.016,0.011,0.001,0,0,0.002,0.027,11.748,12.882,0.082,4.139
827,0.001,0.031,0,0.038,0,0.933,0.069,0,0.037,2.333,0.021,1.06,0.487,0.139,1.474,0.079,0.032,0.015,0.001,0.012,0.027,0.244,0.781,0.308,0.061,0.37,1.58,0.01,0.02,0.053,0.071,0.063,0.011,0.043,0.002,0,0.001,0,0.001,0.003,0.051,0.002,0,0.014,5.492,1,0.046,3.733
828,0.001,0.078,0.001,0.102,0.002,6.277,2.287,0.007,0.037,3.96,0.029,4.165,4.025,0.044,3.849,1.457,0.035,0.227,0.07,0.027,0.111,2.135,3.918,0.028,0.101,0.074,3.134,0.048,0.25,1.214,0.64,0.014,0.181,0.115,0.009,0.019,0.004,0.149,0.012,0.139,0.296,0.117,0.001,0.01,11.426,1.002,0.044,24.766
829,0.001,0.05,0,0.074,0.001,5.81,1.952,0.005,0.046,3.16,0.029,4.558,6.228,0.606,3.464,1.689,0.063,0.285,0.006,0.067,0.055,4.247,4.424,0.087,0.868,1.843,3.399,0.145,0.472,2.304,1.634,0.453,2.749,0.099,0.065,0.079,0.017,0.811,0.024,0.009,0.02,0.003,0,0.018,10.71,3.418,0.08,31.352
830,0.002,0.031,0,0.035,0,0.245,0.012,0,0.022,2.111,0.02,0.63,0.195,0.258,3.628,0.104,0.048,0.006,0,0.015,0.025,0.089,0.47,0.023,0.066,1.944,3.063,0.015,0.019,0.035,0.042,0.355,0.037,0.124,0.002,0.004,0.003,0.001,0.001,0.01,0.036,0.004,0,0.01,8.986,2.675,0.058,1.755
831,0.001,0.033,0.001,0.037,0,2.368,0.235,0.001,0.019,1.977,0.021,1.666,0.673,0.008,1.858,0.073,0.022,0.021,0.019,0.01,0.035,0.354,1.33,0.003,0.033,0.072,3.243,0.008,0.038,0.132,0.086,0.019,0.018,0.113,0.003,0.005,0.002,0.005,0.003,0.034,0.093,0.051,0,0.007,7.273,0.33,0.029,6.885
832,0.001,0.066,0.001,0.168,0.003,6.116,2.516,0.006,0.213,5.374,0.035,4.731,5.932,1.283,4.232,1.703,0.081,0.458,0.008,0.117,0.062,4.233,4.653,0.178,0.596,1.641,3.755,0.185,0.525,2.576,1.523,0.395,1.956,0.161,0.05,0.081,0.018,0.821,0.023,0.027,0.038,0.011,0.001,0.029,14.257,4.361,0.11,32.479
833,0.002,0.032,0.001,0.099,0.001,1.515,0.703,0.001,0.261,4.281,0.024,2.307,2.528,1.288,3.16,0.175,0.046,0.032,0.004,0.038,0.032,1.084,2.016,0.268,0.129,1.909,2.061,0.021,0.071,0.315,0.299,0.409,0.057,0.125,0.006,0.007,0.003,0.006,0.004,0.021,0.031,0.004,0.001,0.015,9.805,4.262,0.061,10.813
834,0.001,8.353,0.258,0.984,0.595,5.793,9.224,0.148,0.198,7.509,5.836,1.719,0.383,2.982,7.456,0.278,0.22,0.661,0.008,0.373,0.038,0.02,0.723,0.038,0.102,5.866,6.191,0.068,0.089,0.03,0.057,0.703,0.078,1.338,0.005,0.015,0.022,0.178,0.098,0.011,0.012,0.032,0.209,0.058,23.688,10.875,0.278,26.321
835,0.001,0.03,0,0.065,0,4.891,0.888,0.002,0.02,1.338,0.021,3.603,3.516,0.008,3.405,0.181,0.036,0.02,0.243,0.005,0.19,2.302,3.387,0.01,0.055,0.036,2.744,0.023,0.191,0.904,1.013,0.009,0.047,0.192,0.01,0.01,0.003,0.051,0.007,0.07,0.204,0.137,0,0.006,7.947,0.519,0.042,20.555
836,0.005,0.037,0.002,0.077,0.001,4.939,1.063,0.003,0.022,2.679,0.023,3.507,2.553,0.014,3.819,0.303,0.009,0.117,0.207,0.01,0.429,1.155,3.064,0.01,0.053,0.021,3.316,0.024,0.119,0.58,0.293,0.017,0.092,0.269,0.003,0.008,0.003,0.045,0.01,0.141,0.433,0.237,0.002,0.006,10.296,1.023,0.015,17.203
837,0.002,0.033,0.002,0.038,0,0.057,0,0,0.045,3.004,0.021,0.097,0.026,0.474,2.585,0.079,0.007,0.011,0.002,0.013,0.028,0.019,0.131,0.086,0.056,0.931,2.816,0.002,0.005,0,0.032,0.239,0.022,0.105,0,0.003,0,0,0.002,0.018,0.09,0.012,0.002,0.006,8.559,1.92,0.013,0.399
838,0.002,0.032,0.001,0.061,0.001,5.04,1.176,0.003,0.02,0.378,0.021,3.682,3.971,0.007,2.251,0.092,0.012,0.02,0.099,0.007,0.108,2.32,3.31,0.011,0.044,0.034,1.263,0.019,0.149,0.739,0.913,0.001,0.013,0.125,0.005,0.008,0.001,0.022,0.005,0.035,0.124,0.068,0.001,0.002,4.236,0.326,0.014,21.194
839,0.004,0.044,0.002,0.061,0.001,5.405,1.515,0.005,0.038,5.096,0.028,4.338,5.034,0.897,4.813,1.294,0.052,0.349,0.006,0.095,0.047,3.775,4.269,0.101,0.456,3.367,5.235,0.153,0.385,1.846,1.4,1.639,0.966,0.387,0.042,0.041,0.008,0.278,0.01,0.015,0.05,0.004,0.002,0.017,15.999,6.555,0.068,27.709
840,0.003,0.036,0.003,0.036,0.001,0.113,0.057,0.002,0.023,2.097,0.023,0.375,0.363,0.179,2.913,0.078,0.011,0.012,0.005,0.006,0.036,0.091,0.248,0.015,0.049,0.598,2.644,0.003,0.006,0.008,0.038,0.091,0.003,0.043,0.002,0.001,0.002,0.001,0.004,0.044,0.139,0.02,0.005,0.007,7.748,1.127,0.018,1.331
841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,0.003,0.033,0.001,0.044,0,2.093,0.132,0.001,0.02,2.252,0.021,1.658,0.724,0.005,1.83,0.047,0.008,0.012,0.049,0.001,0.051,0.425,1.484,0,0.025,0.035,3.099,0.003,0.045,0.199,0.104,0,0.001,0.055,0.004,0.006,0.003,0,0.002,0.047,0.155,0.056,0.002,0.006,7.333,0.331,0.014,6.86
843,0.006,0.044,0.007,0.091,0.002,3.565,0.309,0.004,0.088,5.746,0.027,3.581,2.161,1.408,5.014,0.725,0.038,0.05,0.002,0.054,0.033,1.316,3.345,0.026,0.251,3.184,4.602,0.035,0.195,0.91,0.366,1.799,0.494,0.358,0.022,0.047,0.011,0.157,0.008,0.014,0.039,0.006,0.007,0.022,16.032,6.668,0.06,15.667
844,0.001,0.033,0,0.072,0,5.142,1.293,0.002,0.021,1.021,0.022,3.598,3.267,0.005,1.717,0.221,0.025,0.061,0.165,0.007,0.306,1.717,3.163,0.008,0.055,0.039,1.019,0.02,0.126,0.601,0.54,0.002,0.047,0.063,0.005,0.005,0.001,0.034,0.005,0.021,0.085,0.048,0,0.005,4.024,0.297,0.03,19.364
846,0.001,0.05,0.002,0.082,0.003,5.983,3.58,0.009,0.051,4.336,0.032,4.732,7.294,0.668,6.408,2.1,0.188,0.707,0.038,0.151,0.131,6.22,4.689,0.754,1.085,2.778,4.641,0.474,0.643,3.411,4.194,0.78,1.62,0.367,0.308,0.247,0.048,0.445,0.028,0.021,0.156,0.009,0.001,0.025,16.555,6.073,0.213,40.709
847,0.003,0.061,0.002,0.077,0.002,5.873,2.134,0.007,0.056,5.17,0.03,4.415,5.893,0.43,5.219,1.601,0.065,0.475,0.008,0.073,0.059,4.595,4.401,0.576,0.539,1.283,3.785,0.19,0.492,2.431,2.109,0.322,1.079,0.186,0.099,0.068,0.013,0.278,0.011,0.027,0.066,0.005,0.002,0.02,14.955,3.312,0.085,32.079
849,0.002,0.033,0.001,0.05,0.001,1.27,0.038,0.001,0.018,0.135,0.019,2.472,1.808,0.006,3.692,0.102,0.014,0.011,0.031,0.002,0.042,1.358,2.16,0.003,0.043,0.091,0.653,0.002,0.072,0.34,0.417,0,0.015,0.172,0.008,0.006,0.001,0.005,0.003,0.055,0.099,0.069,0.001,0.001,4.781,0.355,0.015,9.909
850,0.004,0.039,0.002,0.036,0,0.855,0.083,0.001,0.019,1.454,0.021,0.472,0.217,0.012,3.485,0.083,0.01,0.022,0.062,0.007,0.113,0.109,0.428,0.012,0.026,0.069,2.842,0.003,0.014,0.035,0.043,0.002,0.003,0.129,0.003,0.002,0.003,0.001,0.004,0.113,0.402,0.112,0.002,0.005,7.971,0.771,0.016,2.286
851,0.002,0.054,0,0.132,0.002,6.299,3.057,0.009,0.053,6.305,0.037,4.821,6.587,0.67,5.477,2.238,0.12,0.751,0.032,0.125,0.088,5.473,4.64,0.115,0.787,0.98,5.326,0.381,0.601,2.967,2.842,0.708,1.963,0.48,0.123,0.096,0.02,0.571,0.018,0.107,0.317,0.103,0.001,0.049,18.361,3.93,0.169,36.959
852,0.004,0.033,0.002,0.039,0,0.152,0.006,0.001,0.046,3.463,0.022,0.285,0.1,0.296,3.341,0.122,0.045,0.018,0.001,0.018,0.024,0.067,0.284,0.676,0.105,1.242,3.274,0.015,0.014,0.016,0.039,0.321,0.034,0.155,0.003,0.001,0.003,0.001,0.002,0.019,0.122,0.006,0.002,0.017,10.296,2.763,0.062,0.987
853,0.002,0.084,0.002,0.162,0.003,6.346,3.084,0.01,0.032,3.796,0.032,4.264,5.642,0.051,4.067,2.944,0.024,0.414,0.15,0.044,0.267,3.67,4.236,0.035,0.307,0.108,5.318,0.085,0.373,1.826,1.647,0.057,0.788,0.371,0.011,0.051,0.004,0.887,0.039,0.149,0.243,0.147,0.002,0.002,14.131,1.279,0.027,30.863
854,0.004,0.034,0.002,0.044,0,3.218,0.416,0.002,0.063,2.471,0.023,3.406,2.288,0.606,2.766,0.285,0.027,0.049,0.01,0.026,0.045,1.271,3.077,0.044,0.156,1.434,1.998,0.024,0.141,0.678,0.356,0.342,0.245,0.127,0.009,0.011,0.004,0.049,0.006,0.015,0.033,0.007,0.002,0.01,7.561,2.62,0.037,14.764
855,0.002,0.149,0.002,0.151,0.005,6.827,4.774,0.019,0.057,5.291,0.039,4.625,6.57,0.132,4.729,3.577,0.071,0.734,0.077,0.1,0.117,4.127,4.539,0.088,0.367,0.103,5.622,0.188,0.498,2.419,1.569,0.138,1.185,0.355,0.023,0.068,0.012,1.048,0.037,0.152,0.245,0.181,0.002,0.018,16.696,1.929,0.089,35.689
856,0.002,0.035,0.001,0.035,0,2.188,0.187,0.001,0.019,0.365,0.022,1.346,0.557,0,1.381,0.073,0,0.012,0.109,0,0.134,0.252,1.025,0,0.039,0,1.055,0,0.02,0.093,0.07,0,0.007,0.063,0,0.003,0,0.007,0.002,0.059,0.09,0.051,0.001,0,2.924,0.232,0,5.755
857,0.005,0.036,0.003,0.044,0.001,3.43,0.326,0.003,0.021,0.477,0.021,2.407,1.743,0.011,4.806,0.15,0.011,0.018,0.317,0.009,0.235,1.011,2.02,0.015,0.038,0.025,2.02,0.006,0.069,0.323,0.408,0.003,0.019,0.298,0.003,0.004,0.002,0.028,0.006,0.081,0.342,0.151,0.003,0.005,7.727,0.675,0.016,11.713
873,0.003,0.04,0.002,0.043,0,4.135,0.739,0.002,0.022,2.132,0.022,2.714,1.906,0.011,2.407,0.175,0.009,0.05,0.092,0.005,0.161,0.927,2.262,0.004,0.036,0.09,3.47,0.01,0.079,0.369,0.274,0.003,0.029,0.108,0.004,0.004,0.002,0.02,0.005,0.083,0.193,0.088,0.002,0.006,8.248,0.547,0.015,13.375
874,0.005,0.036,0.002,0.045,0,1.451,0.122,0.001,0.094,2.225,0.022,2.389,1.027,1.512,4.387,0.266,0.029,0.017,0.001,0.027,0.028,0.563,2.058,0.049,0.114,1.747,1.694,0.009,0.072,0.333,0.164,0.277,0.063,0.11,0.005,0.007,0.003,0.007,0.001,0.002,0.028,0.002,0.002,0.013,8.542,3.756,0.042,8.154
875,0.002,0.033,0.001,0.05,0,3.637,0.658,0.002,0.044,5.371,0.029,3.815,2.699,1.157,4.306,0.477,0.081,0.061,0.002,0.057,0.033,1.447,3.533,0.044,0.24,2.808,3.704,0.051,0.19,0.863,0.412,1.009,0.268,0.245,0.013,0.016,0.006,0.03,0.005,0.023,0.067,0.009,0,0.032,13.88,5.279,0.113,17.125
