Bee #,Nonadecane,Hexadecanolide,Octadecanal,Heneicosane,Octadecadienoic Acid,Octadecanolide,Octadecenolide,Eicosanal,Tricosene,Tricosane,Unknown RI2360,Eicosanolide,Eicosenolide,Pentacosene,Pentacosane,Unknown RI2496,11/13-methylpentacosane?,Docosene,Unknown RI2568,Hexacosene,Unknown RI2620,Docosenolide,Docosanolide,Heptacosadiene,Unknown RI2687,Heptacosene,Heptacosane,Unknown RI2739,Octacosane,Tetracosanolide,Tetracosenolide,Nonacosene,3-Methyl-3-Butenyl Docosanoate,Nonacosane,Hexacosenolide,Hexacosanolide,Triacontane,3-Methyl-3-Butenyl Tetracosanoate,Tritriacontane,Pentatriacontene,Heptatriacontadiene,Heptatriacontene,Unknown RI2155,11-Methyltricosane,Alkane_total,Alkene_total,Methylalkane_total,Lactone_total
367,0.003,8.154,0.217,1.558,0.625,5.539,9.512,0.199,6.117,7.959,5.803,0.938,0.269,4.201,6.975,0.342,0.245,0.221,0.006,0.093,0.04,0.049,0.562,0.018,0.053,1.542,5.947,0.032,0.11,0.018,0.057,0.055,0,1.779,0.003,0.01,0.022,0.163,0.07,0.008,0.014,0.04,0.232,0.185,24.422,12.311,0.43,25.111
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,0.006,7.512,0.034,2.162,0.066,2.573,6.955,0.039,6.798,6.483,2.226,0.13,0.027,0.145,2.53,0.073,0.025,0.033,0.001,0.013,0.027,0.006,0.139,0.002,0.036,0.232,2.958,0.009,0.026,0,0.035,0.034,0,0.423,0.002,0.002,0.004,0.014,0.009,0.001,0.001,0,0.012,0.029,14.602,7.259,0.054,17.38
370,0.003,0.579,0.002,0.39,0.002,0.095,0.18,0.001,4.797,5.245,0.028,0.05,0,0.203,0.928,0.039,0.005,0.007,0.001,0.003,0.025,0,0.057,0,0.031,0.079,0.238,0,0,0,0.046,0.004,0,0.039,0.001,0,0.001,0.003,0.003,0,0,0,0.002,0.013,6.846,5.091,0.019,1.007
371,0.004,0.032,0.002,0.037,0,0.25,0.017,0.001,0.024,3.424,0.02,0.539,0.179,0.064,2.583,0.065,0.008,0.007,0,0.003,0.022,0.11,0.509,0.162,0.037,0.306,2.505,0.003,0.013,0.046,0.043,0.059,0.007,0.05,0.002,0,0.002,0,0,0.01,0.044,0.002,0.002,0.008,8.619,0.682,0.016,1.727
372,0.005,0.041,0.003,0.047,0.001,4.118,0.635,0.003,0.023,3.154,0.023,2.774,1.593,0.018,3.879,0.265,0.009,0.075,0.066,0.015,0.083,0.951,2.422,0.023,0.046,0.043,3.127,0.011,0.09,0.434,0.249,0.005,0.054,0.181,0.004,0.008,0.003,0.045,0.006,0.15,0.276,0.094,0.003,0.007,10.493,0.723,0.016,13.23
373,0.003,0.04,0.001,0.072,0.001,5.293,1.551,0.004,0.042,4.833,0.026,4.453,4.924,0.261,4.855,0.492,0.036,0.261,0.005,0.046,0.052,3.685,4.367,0.39,0.277,0.877,4.147,0.125,0.476,2.374,1.567,0.302,1.133,0.242,0.058,0.068,0.013,0.346,0.014,0.021,0.064,0.004,0.002,0.014,14.657,2.267,0.05,28.38
374,0.004,0.033,0.002,0.04,0,2.653,0.298,0.002,0.035,3.342,0.022,3.234,1.621,0.8,2.767,0.213,0.03,0.026,0.001,0.024,0.029,0.838,2.801,0.019,0.16,1.912,2.632,0.017,0.109,0.516,0.209,0.566,0.149,0.125,0.006,0.007,0.003,0.02,0.004,0.012,0.051,0.007,0.001,0.015,9.026,3.453,0.045,12.218
375,0.004,0.039,0.002,0.155,0.001,4.684,1.046,0.003,0.025,3.86,0.024,3.307,2.431,0.036,2.7,0.56,0.01,0.068,0.028,0.012,0.039,1.009,2.682,0.013,0.073,0.054,2.365,0.013,0.086,0.412,0.214,0.011,0.086,0.056,0.004,0.005,0.002,0.029,0.003,0.081,0.172,0.05,0.003,0.008,9.23,0.522,0.018,15.833
376,0.003,5.914,0.012,0.251,0.009,0.302,2.79,0.005,1.207,6.819,0.475,0.16,0,4.803,3.897,0.186,0.135,0.034,0.001,0.262,0.028,0.008,0.19,0.01,0.126,5.398,2.579,0.031,0.026,0.004,0.038,0.837,0.062,0.29,0.002,0.005,0.005,0.017,0.011,0.001,0,0.001,0.002,0.067,13.881,12.552,0.202,9.413
377,0.005,0.047,0.003,0.053,0.001,4.115,0.97,0.003,0.022,2.23,0.023,2.925,1.908,0.013,2.035,0.107,0.002,0.058,0.053,0.007,0.056,0.831,2.434,0.009,0.036,0.039,3.457,0.011,0.083,0.411,0.212,0.007,0.051,0.079,0.005,0.008,0.003,0.035,0.005,0.116,0.164,0.079,0.003,0.006,7.95,0.513,0.008,13.866
378,0.002,0.034,0.001,0.052,0,4.026,1.168,0.003,0.066,1.734,0.024,4.501,6.949,0.488,5.133,0.958,0.077,0.114,0.124,0.046,0.365,5.247,4.426,0.169,1.007,0.712,1.685,0.162,0.523,2.555,2.743,0.231,0.671,0.183,0.222,0.098,0.016,0.051,0.008,0.028,0.062,0.02,0,0.01,9.336,1.936,0.086,31.97
